"","gene","O20_384Bulk_Plate2_S356.gencode.vM19","P11_384Bulk_Plate2_S371.gencode.vM19","K9_384Bulk_Plate2_S249.gencode.vM19","I13_384Bulk_Plate2_S205.gencode.vM19","F11_384Bulk_Plate1_S131.gencode.vM19","G3_384Bulk_Plate1_S147.gencode.vM19","G8_384Bulk_Plate2_S152.gencode.vM19","C19_384Bulk_Plate2_S67.gencode.vM19"
"26073","Gm37059",0,0,0,0,0,0,0,0
"26074","Gm37060",55,49,62,64,55,59,37,27
"26075","Gm37061",9,5,9,12,16,13,21,1
"26076","Gm37062",6,2,3,0,4,10,9,1
"26077","Gm37063",30,24,24,21,20,20,31,15
"26078","Gm37064",7,12,10,11,8,3,3,3
"26079","Gm37065",3,6,7,4,19,13,0,7
"26080","Gm37066",1,4,8,1,9,11,15,4
"26081","Gm37067",8,8,8,7,8,19,8,0
"26082","Gm37068",1,0,3,6,12,4,5,1
"26083","Gm37069",19,9,6,9,3,20,4,21
"26084","Gm37070",0,0,4,3,1,2,6,3
"26085","Gm37071",0,0,0,0,0,0,0,0
"26086","Gm37072",0,1,0,3,8,14,3,1
"26087","Gm37073",5,0,1,2,0,0,3,0
"26088","Gm37074",0,2,13,16,8,25,4,2
"26089","Gm37075",0,0,0,0,1,1,3,0
"26090","Gm37076",8,0,5,0,20,7,8,4
"26091","Gm37077",2,1,11,12,5,15,15,1
"26092","Gm37078",6,2,5,0,6,3,4,1
"26093","Gm37079",7,10,11,6,13,11,8,0
"26094","Gm37080",10,6,16,11,19,23,17,4
"26095","Gm37081",4,0,0,0,0,0,0,3
"26096","Gm37082",6,16,15,1,8,24,6,24
"26097","Gm37083",1,2,5,9,6,5,2,1
"26098","Gm37084",55,14,15,52,23,26,36,23
"26099","Gm37085",0,0,0,0,4,0,3,0
"26100","Gm37086",4,0,3,4,9,6,2,3
"26101","Gm37087",0,0,2,0,6,6,0,0
"26102","Gm37088",1,0,2,3,8,1,1,1
"26103","Gm37089",4,0,3,0,0,6,6,0
"26104","Gm37090",11,5,12,12,15,26,21,10
"26105","Gm37091",0,1,3,8,8,8,1,2
"26106","Gm37092",2,0,0,3,5,0,6,0
"26107","Gm37093",0,3,5,0,1,0,2,1
"26108","Gm37094",0,0,0,0,0,0,0,0
"26109","Gm37095",0,2,0,2,6,4,1,0
"26110","Gm37096",1,0,10,9,4,4,3,5
"26111","Gm37097",0,0,0,0,0,0,0,0
"26112","Gm37098",2,0,0,0,3,0,0,0
"26113","Gm37099",2,6,3,1,11,5,10,1
"26114","Gm371",0,5,1,1,4,4,11,1
"26115","Gm37100",0,4,4,0,4,6,0,2
"26116","Gm37101",11,12,28,41,35,26,44,9
"26117","Gm37102",9,0,1,1,1,7,2,0
"26118","Gm37103",0,1,4,0,1,1,2,0
"26119","Gm37104",0,1,1,4,1,0,4,0
"26120","Gm37105",15,2,8,14,10,3,6,4
"26121","Gm37106",6,6,19,9,11,2,3,1
"26122","Gm37107",12,13,8,2,9,9,11,0
"26123","Gm37108",0,1,0,7,0,4,7,1
"26124","Gm37109",14,3,4,8,6,13,4,3
"26125","Gm3711",4,2,9,8,3,2,7,3
"26126","Gm37110",0,0,3,0,0,3,0,0
"26127","Gm37111",3,0,3,0,7,0,2,0
"26128","Gm37112",0,0,0,0,0,0,0,0
"26129","Gm37113",11,5,0,4,5,9,5,0
"26130","Gm37114",3,0,1,5,2,8,2,1
"26131","Gm37115",14,8,16,11,21,31,21,7
"26132","Gm37116",0,2,1,0,4,0,0,0
"26133","Gm37117",2,0,0,1,1,0,6,0
"26134","Gm37118",0,0,0,0,0,0,0,0
"26135","Gm37119",10,0,3,0,14,12,2,0
"26136","Gm3712",7,1,7,0,2,0,0,0
"26137","Gm37120",4,8,4,8,20,10,4,0
"26138","Gm37121",20,14,16,19,33,27,17,12
"26139","Gm37122",1,5,0,8,11,19,7,3
"26140","Gm37123",22,7,8,14,12,13,3,1
"26141","Gm37124",11,4,13,16,20,26,4,6
"26142","Gm37125",3,5,5,14,4,11,4,1
"26143","Gm37126",0,1,5,1,8,9,9,1
"26144","Gm37127",22,15,15,25,38,20,30,11
"26145","Gm37128",0,0,0,0,1,3,0,0
"26146","Gm37129",0,0,0,0,0,0,0,0
"26147","Gm37130",0,0,0,0,0,0,0,0
"26148","Gm37131",0,1,0,2,3,4,6,0
"26149","Gm37132",20,6,7,7,12,16,11,4
"26150","Gm37133",3,5,16,5,16,15,20,2
"26151","Gm37134",3,0,0,1,6,4,6,0
"26152","Gm37135",4,2,0,0,1,0,0,0
"26153","Gm37136",0,0,0,0,0,0,0,0
"26154","Gm37137",8,6,13,26,28,25,12,6
"26155","Gm37138",4,4,15,6,15,13,15,3
"26156","Gm37139",10,3,17,5,16,22,6,3
"26157","Gm37140",25,42,42,46,50,59,66,20
"26158","Gm37141",0,0,0,3,0,1,0,4
"26159","Gm37142",12,22,44,21,47,41,24,12
"26160","Gm37143",4,0,11,7,11,10,4,1
"26161","Gm37144",0,0,0,8,4,2,1,0
"26162","Gm37145",7,2,10,2,10,7,18,0
"26163","Gm37146",3,0,0,0,2,0,0,0
"26164","Gm37147",0,0,0,0,0,0,0,0
"26165","Gm37148",0,0,6,0,9,4,0,0
"26166","Gm3715",0,4,2,2,2,0,2,0
"26167","Gm37150",1,1,13,3,20,11,8,0
"26168","Gm37151",9,9,24,6,24,11,12,9
"26169","Gm37152",5,6,1,8,3,2,0,1
"26170","Gm37153",0,0,0,0,0,0,0,0
"26171","Gm37154",5,0,0,0,2,0,4,4
"26172","Gm37155",0,0,1,0,2,0,0,0
"26173","Gm37157",0,0,0,0,0,0,0,0
"26174","Gm37158",0,0,0,0,0,0,0,0
"26175","Gm37159",3,4,12,3,2,5,10,1
"26176","Gm3716",10,3,9,9,2,24,5,3
"26177","Gm37160",11,10,2,2,2,3,5,0
"26178","Gm37161",6,3,13,9,9,8,11,5
"26179","Gm37162",0,2,0,2,2,2,0,0
"26180","Gm37163",11,11,14,7,22,8,13,0
"26181","Gm37164",0,5,4,2,1,3,0,0
"26182","Gm37165",2,10,3,2,6,4,4,10
"26183","Gm37166",9,7,13,0,2,9,13,8
"26184","Gm37167",0,0,0,0,0,3,1,0
"26185","Gm37168",0,1,0,2,0,7,2,1
"26186","Gm37169",0,3,0,0,3,2,0,3
"26187","Gm37170",3,0,3,0,6,4,4,0
"26188","Gm37171",0,2,11,4,4,4,11,0
"26189","Gm37172",0,0,0,0,0,2,0,0
"26190","Gm37173",1,1,8,1,11,2,5,0
"26191","Gm37174",16,12,15,7,15,8,15,11
"26192","Gm37175",3,0,1,1,10,2,3,0
"26193","Gm37176",20,17,16,11,34,32,36,9
"26194","Gm37177",4,0,1,3,0,5,0,0
"26195","Gm37178",0,0,7,3,4,1,0,0
"26196","Gm37179",0,0,1,0,4,0,0,0
"26197","Gm37180",7,10,10,4,14,20,11,3
"26198","Gm37181",6,7,9,17,20,18,13,2
"26199","Gm37183",54,5,20,33,37,29,17,4
"26200","Gm37184",0,3,0,0,12,6,0,3
"26201","Gm37185",0,0,1,0,1,0,0,0
"26202","Gm37186",11,7,5,12,5,16,7,8
"26203","Gm37187",0,0,2,0,3,1,0,0
"26204","Gm37189",0,0,0,0,0,0,0,0
"26205","Gm37190",9,6,9,11,6,15,4,0
"26206","Gm37191",4,0,0,0,0,0,0,0
"26207","Gm37192",6,2,4,2,6,2,4,4
"26208","Gm37193",4,1,1,2,2,0,0,0
"26209","Gm37194",3,0,1,6,3,15,1,0
"26210","Gm37195",11,3,15,6,13,19,14,0
"26211","Gm37196",1,1,7,4,5,10,7,0
"26212","Gm37197",1,2,5,4,2,0,3,1
"26213","Gm37198",0,4,1,0,2,2,3,0
"26214","Gm37199",1,2,9,16,22,14,5,8
"26215","Gm37200",4,5,6,2,5,9,2,5
"26216","Gm37201",0,2,2,0,0,2,0,0
"26217","Gm37202",2,0,7,3,2,1,1,0
"26218","Gm37203",1,1,0,1,1,4,0,2
"26219","Gm37204",11,14,43,21,34,33,20,38
"26220","Gm37205",3,6,6,6,14,8,9,0
"26221","Gm37206",0,0,0,0,0,0,0,0
"26222","Gm37207",0,0,0,0,0,0,0,0
"26223","Gm37209",0,0,0,0,0,7,2,0
"26224","Gm37210",2,0,3,11,11,9,8,1
"26225","Gm37211",9,14,25,16,17,28,26,7
"26226","Gm37212",3,3,7,8,8,14,7,7
"26227","Gm37213",0,0,6,0,2,2,3,0
"26228","Gm37214",0,0,1,1,1,4,0,0
"26229","Gm37215",12,7,30,7,25,14,30,7
"26230","Gm37216",28,11,20,10,21,20,27,6
"26231","Gm37217",6,11,14,14,16,16,16,0
"26232","Gm37218",0,1,2,0,0,2,0,0
"26233","Gm37219",22,2,26,17,22,17,14,9
"26234","Gm37220",3,3,5,6,0,4,1,0
"26235","Gm37221",6,7,13,9,24,12,10,1
"26236","Gm37222",5,0,0,9,5,2,7,0
"26237","Gm37223",4,0,6,3,8,11,6,2
"26238","Gm37224",0,0,0,0,0,0,0,0
"26239","Gm37225",4,1,0,0,4,0,3,3
"26240","Gm37226",0,3,16,0,9,9,5,2
"26241","Gm37227",0,0,0,0,0,0,0,0
"26242","Gm37228",0,5,6,0,1,10,2,0
"26243","Gm37229",0,2,17,5,4,5,18,1
"26244","Gm37230",4,0,0,0,1,0,0,0
"26245","Gm37231",0,0,0,0,0,0,0,0
"26246","Gm37232",0,0,4,0,0,0,0,0
"26247","Gm37233",23,10,46,21,37,30,17,35
"26248","Gm37234",11,1,2,0,2,1,0,0
"26249","Gm37235",5,0,8,0,2,8,3,0
"26250","Gm37236",7,6,1,10,12,11,4,0
"26251","Gm37237",0,0,0,0,0,0,0,0
"26252","Gm37238",28,7,28,12,39,44,12,14
"26253","Gm37239",0,0,0,0,0,2,0,0
"26254","Gm3724",47,15,16,32,17,15,16,11
"26255","Gm37240",34,29,20,35,15,41,43,32
"26256","Gm37241",7,0,4,15,6,9,17,0
"26257","Gm37242",3,1,12,10,10,10,9,4
"26258","Gm37243",8,1,12,7,7,3,6,0
"26259","Gm37244",7,0,1,6,2,18,3,0
"26260","Gm37245",3,0,0,3,1,7,2,0
"26261","Gm37246",0,5,0,4,3,13,5,0
"26262","Gm37247",0,0,1,0,0,1,0,2
"26263","Gm37248",24,7,4,9,22,20,10,8
"26264","Gm37249",5,6,4,4,6,7,8,0
"26265","Gm37250",13,4,15,18,29,34,14,9
"26266","Gm37252",0,0,0,0,0,0,0,0
"26267","Gm37253",0,3,0,0,0,5,0,0
"26268","Gm37254",50,45,34,56,33,43,34,28
"26269","Gm37255",22,11,18,16,31,26,30,8
"26270","Gm37256",5,4,23,14,14,15,5,0
"26271","Gm37257",0,0,1,4,1,0,2,0
"26272","Gm37258",16,6,12,11,4,16,10,4
"26273","Gm37259",0,0,1,0,3,4,1,3
"26274","Gm3726",6,2,5,21,2,6,6,2
"26275","Gm37260",4,0,5,6,4,2,0,4
"26276","Gm37261",4,0,0,0,7,4,0,0
"26277","Gm37262",14,4,12,12,21,28,7,11
"26278","Gm37263",0,0,0,0,0,0,0,0
"26279","Gm37264",1,6,2,1,4,2,2,1
"26280","Gm37265",1,1,8,0,5,3,0,2
"26281","Gm37266",9,19,6,4,4,8,7,0
"26282","Gm37267",1,6,2,0,1,5,1,0
"26283","Gm37268",10,17,28,3,8,30,0,11
"26284","Gm37269",11,3,3,4,7,2,3,0
"26285","Gm3727",2,2,0,4,2,4,1,0
"26286","Gm37270",0,0,0,0,0,0,0,0
"26287","Gm37272",10,0,3,14,3,2,5,0
"26288","Gm37273",4,0,6,2,3,5,2,2
"26289","Gm37274",23,7,12,15,28,24,19,7
"26290","Gm37275",0,1,0,1,0,0,2,0
"26291","Gm37277",8,4,8,5,3,14,6,0
"26292","Gm37278",8,5,16,25,33,18,24,5
"26293","Gm37279",4,1,4,0,2,0,10,0
"26294","Gm37280",0,1,5,0,2,2,0,0
"26295","Gm37281",0,2,0,3,0,2,0,0
"26296","Gm37282",0,0,0,0,0,0,0,0
"26297","Gm37283",21,4,11,8,9,16,17,3
"26298","Gm37284",0,0,0,0,0,0,0,0
"26299","Gm37285",4,10,6,2,6,0,0,5
"26300","Gm37286",0,0,0,0,0,0,0,0
"26301","Gm37287",0,0,0,0,0,0,0,0
"26302","Gm37288",0,0,0,1,3,2,1,0
"26303","Gm37289",10,9,14,2,23,26,18,8
"26304","Gm37290",0,1,0,0,3,2,3,2
"26305","Gm37291",3,2,11,6,3,5,1,0
"26306","Gm37292",3,3,7,6,5,2,9,0
"26307","Gm37293",5,0,6,0,4,2,0,1
"26308","Gm37294",0,0,0,0,4,5,1,0
"26309","Gm37295",0,4,3,0,0,6,1,0
"26310","Gm37296",26,35,50,35,39,37,32,26
"26311","Gm37297",69,54,47,74,75,98,57,43
"26312","Gm37298",33,35,40,27,36,33,63,4
"26313","Gm37299",3,0,2,0,3,4,6,3
"26314","Gm37300",0,1,1,0,5,0,0,0
"26315","Gm37301",5,3,6,1,9,5,0,0
"26316","Gm37302",5,0,2,1,3,14,10,1
"26317","Gm37303",13,8,5,14,17,11,6,1
"26318","Gm37305",36,17,12,16,22,14,20,9
"26319","Gm37306",1,1,5,2,14,8,7,1
"26320","Gm37307",8,1,6,3,9,7,13,3
"26321","Gm37308",0,0,1,0,0,0,0,0
"26322","Gm37309",13,20,20,21,12,15,10,6
"26323","Gm37310",4,2,2,5,12,3,0,6
"26324","Gm37311",32,41,11,24,27,26,19,15
"26325","Gm37312",0,0,4,0,7,0,0,0
"26326","Gm37313",8,11,11,3,7,8,0,2
"26327","Gm37314",56,42,61,64,52,64,30,22
"26328","Gm37315",5,7,8,4,17,12,2,1
"26329","Gm37317",0,7,9,8,7,11,0,0
"26330","Gm37318",0,0,0,0,0,0,0,0
"26331","Gm37319",0,0,0,0,0,2,0,0
"26332","Gm37320",134,72,113,141,78,100,107,57
"26333","Gm37321",2,7,0,1,0,7,7,7
"26334","Gm37322",0,0,0,0,0,0,0,0
"26335","Gm37323",2,3,12,8,18,12,15,0
"26336","Gm37324",13,15,26,21,19,12,25,15
"26337","Gm37325",0,0,0,0,0,0,0,0
"26338","Gm37326",6,6,16,9,8,13,5,13
"26339","Gm37327",1,0,1,0,0,0,0,0
"26340","Gm37328",1,1,3,2,4,0,2,3
"26341","Gm37329",12,16,24,8,31,31,14,5
"26342","Gm37330",5,0,1,1,7,0,0,5
"26343","Gm37331",2,0,10,8,4,9,7,0
"26344","Gm37332",5,3,7,2,7,15,12,3
"26345","Gm37333",26,11,21,14,21,30,16,20
"26346","Gm37334",20,26,39,32,37,48,33,18
"26347","Gm37335",0,0,0,0,0,0,0,0
"26348","Gm37336",3,0,0,5,5,4,0,0
"26349","Gm37337",6,4,11,12,9,14,8,0
"26350","Gm37338",0,0,4,0,1,3,0,2
"26351","Gm37339",6,0,2,3,4,3,0,0
"26352","Gm37340",7,4,6,10,11,12,16,5
"26353","Gm37341",0,0,0,1,3,0,5,0
"26354","Gm37342",26,7,2,4,4,12,6,6
"26355","Gm37343",1,0,1,3,0,1,0,0
"26356","Gm37344",0,0,0,0,0,0,0,0
"26357","Gm37345",3,9,13,4,11,20,2,6
"26358","Gm37346",0,0,0,0,0,0,0,0
"26359","Gm37347",1,11,4,2,18,4,13,9
"26360","Gm37348",0,5,2,0,0,0,0,0
"26361","Gm37349",7,0,0,1,2,11,5,0
"26362","Gm37350",0,1,0,0,0,0,6,2
"26363","Gm37352",19,33,23,22,32,15,33,49
"26364","Gm37353",1,1,4,2,0,6,2,1
"26365","Gm37354",1,13,4,5,22,11,15,8
"26366","Gm37355",2,0,10,9,1,6,3,2
"26367","Gm37356",5,5,3,7,4,8,5,2
"26368","Gm37357",10,2,3,12,0,7,9,2
"26369","Gm37358",0,0,0,0,9,1,0,0
"26370","Gm37359",0,4,6,0,3,9,0,0
"26371","Gm37361",0,0,0,0,0,0,3,0
"26372","Gm37362",3,0,10,10,7,5,0,6
"26373","Gm37363",7,12,10,7,12,9,22,6
"26374","Gm37364",53,40,37,27,41,100,33,28
"26375","Gm37365",1,6,2,3,0,1,4,0
"26376","Gm37366",14,6,14,7,9,17,7,4
"26377","Gm37367",19,8,15,5,16,12,9,0
"26378","Gm37368",8,1,11,12,5,19,2,2
"26379","Gm37369",0,0,4,0,3,0,0,0
"26380","Gm37370",12,13,20,12,11,16,22,9
"26381","Gm37371",0,0,0,0,0,1,0,0
"26382","Gm37372",9,0,8,14,13,13,9,1
"26383","Gm37373",5,2,18,14,23,11,7,1
"26384","Gm37374",0,1,0,1,6,0,0,0
"26385","Gm37375",0,0,0,0,0,0,0,0
"26386","Gm37376",0,0,0,0,0,0,0,0
"26387","Gm37377",0,0,2,0,0,0,0,0
"26388","Gm37378",1,3,0,2,3,6,2,1
"26389","Gm37380",0,0,1,0,0,4,0,0
"26390","Gm37381",3,6,6,1,21,25,5,3
"26391","Gm37382",2,6,5,16,10,13,1,1
"26392","Gm37383",1,6,6,1,4,3,6,1
"26393","Gm37385",0,0,0,0,0,1,0,0
"26394","Gm37386",2,0,0,3,1,0,1,0
"26395","Gm37387",8,13,9,11,12,7,11,4
"26396","Gm37388",0,0,0,0,0,0,0,0
"26397","Gm37389",0,0,0,0,0,0,0,0
"26398","Gm3739",12,4,4,19,5,35,14,2
"26399","Gm37390",32,28,26,17,21,48,25,20
"26400","Gm37391",4,11,7,1,8,2,4,6
"26401","Gm37392",1,0,0,0,2,0,0,1
"26402","Gm37393",3,5,8,13,16,15,13,4
"26403","Gm37395",0,0,0,0,0,0,0,0
"26404","Gm37396",5,2,9,2,21,10,1,0
"26405","Gm37397",4,11,20,18,15,21,9,4
"26406","Gm37398",8,0,1,3,10,3,1,2
"26407","Gm37399",3,6,3,5,6,6,12,3
"26408","Gm37400",3,6,3,0,1,6,1,0
"26409","Gm37401",0,0,0,0,0,0,0,0
"26410","Gm37402",21,6,31,19,53,24,32,8
"26411","Gm37403",7,3,14,11,14,11,15,0
"26412","Gm37404",0,0,0,0,0,0,0,0
"26413","Gm37406",1,0,7,0,0,6,1,0
"26414","Gm37407",13,12,25,28,35,37,23,31
"26415","Gm37409",5,7,3,12,11,16,12,3
"26416","Gm37410",4,5,15,6,21,14,4,1
"26417","Gm37411",1,2,17,7,16,12,6,2
"26418","Gm37412",22,16,24,5,21,26,7,12
"26419","Gm37415",0,3,0,0,7,4,0,0
"26420","Gm37416",0,0,1,0,0,0,0,0
"26421","Gm37417",0,2,4,0,0,4,2,0
"26422","Gm37418",4,4,0,0,2,0,0,0
"26423","Gm37419",0,0,0,0,0,0,0,0
"26424","Gm3742",0,0,0,1,6,2,1,0
"26425","Gm37420",20,15,13,23,20,27,28,27
"26426","Gm37421",0,1,0,3,5,8,7,1
"26427","Gm37422",55,35,30,60,41,53,27,14
"26428","Gm37423",37,23,37,40,31,37,34,18
"26429","Gm37424",0,1,3,0,0,0,0,0
"26430","Gm37425",0,0,0,0,0,2,0,0
"26431","Gm37426",2,3,4,5,11,3,6,8
"26432","Gm37427",1,2,2,3,0,2,4,0
"26433","Gm37428",0,2,0,1,4,0,0,1
"26434","Gm37429",4,4,8,11,6,7,5,1
"26435","Gm37430",1,0,0,0,2,0,0,0
"26436","Gm37431",0,0,0,0,1,0,0,0
"26437","Gm37432",3,0,8,5,5,8,1,2
"26438","Gm37433",0,0,0,0,0,0,0,0
"26439","Gm37434",0,0,0,0,0,0,0,0
"26440","Gm37435",4,2,1,0,11,11,5,0
"26441","Gm37436",10,1,14,11,3,11,10,8
"26442","Gm37437",41,32,22,50,53,59,52,44
"26443","Gm37438",4,5,3,2,8,7,0,0
"26444","Gm37439",4,4,0,0,0,4,1,0
"26445","Gm37440",0,0,0,0,0,0,0,0
"26446","Gm37441",0,0,0,0,0,0,0,0
"26447","Gm37442",0,0,0,0,0,0,0,0
"26448","Gm37443",6,0,11,9,4,2,3,1
"26449","Gm37444",1,0,1,0,3,2,5,0
"26450","Gm37445",3,11,6,1,3,1,9,5
"26451","Gm37446",3,0,1,4,0,6,20,3
"26452","Gm37447",2,8,3,8,15,7,7,6
"26453","Gm37448",0,0,0,0,2,1,0,0
"26454","Gm37449",0,0,0,0,0,2,0,0
"26455","Gm3745",5,0,1,1,0,1,0,0
"26456","Gm37450",1,1,7,0,3,5,0,0
"26457","Gm37451",0,0,0,0,0,0,0,0
"26458","Gm37452",11,0,2,17,3,11,4,2
"26459","Gm37454",0,0,0,0,0,0,0,0
"26460","Gm37455",0,0,3,3,4,3,0,0
"26461","Gm37456",11,11,26,12,48,20,20,3
"26462","Gm37457",17,21,13,24,36,20,10,0
"26463","Gm37458",0,0,0,0,0,0,0,0
"26464","Gm37459",27,18,28,21,24,24,23,6
"26465","Gm37460",1,2,8,1,5,7,5,3
"26466","Gm37461",3,7,7,9,23,5,15,2
"26467","Gm37462",0,2,0,0,0,0,0,0
"26468","Gm37463",10,7,11,15,17,5,3,5
"26469","Gm37464",10,4,6,3,13,15,4,1
"26470","Gm37465",10,9,3,13,26,16,17,1
"26471","Gm37466",3,0,4,2,2,1,2,2
"26472","Gm37467",0,0,0,0,0,0,0,0
"26473","Gm37468",2,0,2,3,7,3,1,0
"26474","Gm37469",1,1,1,6,2,6,0,1
"26475","Gm37470",10,11,20,8,29,10,30,6
"26476","Gm37472",70,11,37,39,38,54,33,33
"26477","Gm37473",0,0,0,0,0,0,0,0
"26478","Gm37474",48,44,68,49,35,53,36,28
"26479","Gm37475",0,3,0,0,3,0,0,5
"26480","Gm37476",0,0,0,0,0,4,0,0
"26481","Gm37477",0,0,0,0,0,0,0,0
"26482","Gm37478",7,8,7,9,29,11,12,5
"26483","Gm37479",11,5,30,8,19,7,7,6
"26484","Gm37480",1,0,3,0,2,3,1,0
"26485","Gm37481",0,0,3,0,2,1,0,0
"26486","Gm37482",17,17,13,8,8,20,8,2
"26487","Gm37483",5,1,1,0,0,4,3,0
"26488","Gm37484",9,8,13,10,20,11,12,1
"26489","Gm37485",19,2,13,3,7,9,1,5
"26490","Gm37486",0,0,0,0,0,0,0,0
"26491","Gm37488",20,14,18,25,35,28,42,8
"26492","Gm37489",0,1,2,4,0,3,0,0
"26493","Gm3749",1,1,3,2,8,4,5,0
"26494","Gm37490",5,1,4,1,3,9,12,3
"26495","Gm37491",1,1,0,6,3,14,2,0
"26496","Gm37492",8,0,16,3,6,15,5,2
"26497","Gm37493",0,0,0,1,2,0,1,0
"26498","Gm37494",250,243,351,316,288,285,296,125
"26499","Gm37495",0,0,1,5,7,5,1,1
"26500","Gm37496",0,0,0,2,4,9,0,0
"26501","Gm37497",0,2,0,0,0,0,0,0
"26502","Gm37498",6,11,27,16,19,16,9,6
"26503","Gm37499",11,8,18,5,8,22,13,21
"26504","Gm37500",0,0,2,7,0,3,3,1
"26505","Gm37501",1,0,0,0,0,0,2,0
"26506","Gm37502",0,1,2,0,1,5,9,0
"26507","Gm37503",0,0,0,0,1,0,2,0
"26508","Gm37504",5,3,11,3,6,7,2,0
"26509","Gm37505",3,0,2,0,1,0,1,0
"26510","Gm37506",0,1,5,3,8,4,2,2
"26511","Gm37508",0,0,1,0,0,0,0,0
"26512","Gm37509",3,6,9,12,8,3,8,4
"26513","Gm37510",18,31,20,25,51,53,16,17
"26514","Gm37511",3,0,2,0,4,0,2,0
"26515","Gm37513",0,0,0,0,0,0,0,0
"26516","Gm37514",12,7,6,4,11,6,5,2
"26517","Gm37515",1,1,11,2,8,13,3,1
"26518","Gm37516",1,0,3,5,3,2,0,0
"26519","Gm37517",2,4,7,0,9,3,5,2
"26520","Gm37518",1,13,5,2,17,3,8,0
"26521","Gm37519",6,11,15,9,7,7,4,4
"26522","Gm3752",0,0,1,0,3,0,0,0
"26523","Gm37520",0,0,0,0,1,5,1,1
"26524","Gm37521",8,7,1,7,2,10,11,0
"26525","Gm37522",5,14,24,11,14,14,25,3
"26526","Gm37523",0,4,0,0,3,3,3,0
"26527","Gm37524",10,5,10,11,18,14,9,7
"26528","Gm37525",3,9,5,6,5,6,6,0
"26529","Gm37526",0,1,0,0,0,0,0,2
"26530","Gm37527",13,2,9,8,27,7,5,4
"26531","Gm37529",18,24,19,16,20,36,5,6
"26532","Gm37530",0,0,2,0,0,0,0,0
"26533","Gm37531",89,56,66,64,72,65,83,55
"26534","Gm37533",0,0,0,0,1,12,0,0
"26535","Gm37534",37,10,40,24,26,42,28,8
"26536","Gm37535",5,2,7,9,7,14,9,0
"26537","Gm37536",4,0,1,4,7,1,1,1
"26538","Gm37537",1,11,6,0,4,0,6,0
"26539","Gm37538",0,0,0,0,0,0,0,0
"26540","Gm37539",0,0,0,1,0,3,0,0
"26541","Gm37541",2,6,1,0,0,13,1,4
"26542","Gm37542",1,0,4,1,1,4,7,2
"26543","Gm37543",0,0,1,0,0,1,0,0
"26544","Gm37544",0,0,0,0,0,0,0,0
"26545","Gm37545",0,0,0,0,0,0,0,0
"26546","Gm37547",0,0,0,0,0,0,0,0
"26547","Gm37548",0,0,0,0,0,0,0,0
"26548","Gm37549",4,3,1,2,8,16,6,0
"26549","Gm3755",2,1,8,3,8,5,0,0
"26550","Gm37550",0,0,4,1,15,5,3,0
"26551","Gm37551",7,2,3,5,8,16,1,2
"26552","Gm37552",3,5,2,2,10,4,13,0
"26553","Gm37553",11,0,10,1,7,10,3,0
"26554","Gm37555",0,4,5,0,2,1,4,0
"26555","Gm37556",0,5,1,0,1,0,0,0
"26556","Gm37557",0,0,0,2,0,1,0,2
"26557","Gm37558",45,19,42,49,43,29,34,22
"26558","Gm37559",0,0,1,0,0,1,0,0
"26559","Gm3756",2,1,5,2,6,2,6,0
"26560","Gm37560",1,6,13,6,13,9,5,4
"26561","Gm37561",0,0,0,0,0,0,0,0
"26562","Gm37562",0,2,7,4,8,7,5,4
"26563","Gm37563",5,0,0,5,9,6,0,3
"26564","Gm37564",0,0,0,0,0,0,0,0
"26565","Gm37565",1,5,4,3,13,9,6,0
"26566","Gm37566",28,24,36,31,58,33,27,8
"26567","Gm37567",9,1,12,2,3,5,5,0
"26568","Gm37568",0,0,1,1,4,2,5,0
"26569","Gm37569",12,3,17,22,19,25,25,8
"26570","Gm3757",0,0,0,0,0,0,0,0
"26571","Gm37570",41,28,40,32,32,29,23,11
"26572","Gm37571",2,2,5,1,4,10,1,1
"26573","Gm37572",0,0,0,0,0,0,0,0
"26574","Gm37573",2,0,0,5,10,3,6,0
"26575","Gm37574",0,2,3,2,1,0,4,0
"26576","Gm37575",0,1,0,0,3,7,8,0
"26577","Gm37576",0,6,1,0,0,0,0,0
"26578","Gm37577",0,0,0,0,0,0,0,0
"26579","Gm37578",12,10,14,3,23,8,15,1
"26580","Gm37579",0,0,0,0,0,0,0,0
"26581","Gm37580",1,3,4,4,13,23,7,0
"26582","Gm37581",11,18,26,19,16,25,20,10
"26583","Gm37582",0,0,0,1,1,4,0,0
"26584","Gm37583",10,1,4,5,2,12,5,0
"26585","Gm37584",2,0,4,6,6,4,1,0
"26586","Gm37585",2,3,1,1,1,3,0,0
"26587","Gm37586",0,0,0,1,3,4,1,0
"26588","Gm37587",13,8,23,3,11,14,20,12
"26589","Gm37588",6,7,22,8,12,13,12,15
"26590","Gm37589",18,8,21,33,23,26,24,6
"26591","Gm37590",0,1,8,0,3,6,0,1
"26592","Gm37591",1,3,3,10,12,3,7,0
"26593","Gm37592",0,0,1,0,7,0,3,0
"26594","Gm37593",12,4,12,11,11,4,14,0
"26595","Gm37595",5,8,8,2,12,12,0,1
"26596","Gm37596",1,0,1,6,10,12,14,0
"26597","Gm37597",0,1,3,1,2,3,0,0
"26598","Gm37598",6,14,15,12,10,17,10,9
"26599","Gm37599",4,5,6,6,6,1,7,0
"26600","Gm3760",6,6,2,1,0,8,5,0
"26601","Gm37600",5,1,1,0,8,5,1,0
"26602","Gm37601",4,0,0,0,0,0,0,1
