"","gene","O20_384Bulk_Plate2_S356.gencode.vM19","P11_384Bulk_Plate2_S371.gencode.vM19","K9_384Bulk_Plate2_S249.gencode.vM19","I13_384Bulk_Plate2_S205.gencode.vM19","F11_384Bulk_Plate1_S131.gencode.vM19","G3_384Bulk_Plate1_S147.gencode.vM19","G8_384Bulk_Plate2_S152.gencode.vM19","C19_384Bulk_Plate2_S67.gencode.vM19"
"4871","B3gat3",384,457,287,412,327,212,314,252
"4872","B3glct",98,102,65,106,103,70,77,64
"4873","B3gnt2",41,37,30,52,22,33,25,17
"4874","B3gnt3",131,191,121,190,112,89,156,91
"4875","B3gnt4",0,2,2,1,0,0,0,0
"4876","B3gnt5",32,10,46,34,54,23,43,4
"4877","B3gnt6",1,0,1,1,11,6,5,3
"4878","B3gnt7",7,6,2,7,8,6,5,8
"4879","B3gnt8",81,91,67,65,64,63,71,52
"4880","B3gnt9",72,87,91,142,100,78,97,57
"4881","B3gntl1",85,81,98,108,126,82,90,76
"4882","B430010I23Rik",77,70,70,109,69,98,79,33
"4883","B430119L08Rik",0,2,1,4,4,7,2,0
"4884","B430203G13Rik",12,3,1,3,12,11,4,10
"4885","B430212C06Rik",45,43,51,59,59,63,29,38
"4886","B430218F22Rik",5,2,3,14,12,10,7,0
"4887","B430219N15Rik",0,0,0,0,3,3,5,3
"4888","B430305J03Rik",0,0,0,0,0,0,0,0
"4889","B430306N03Rik",0,1,3,5,1,0,6,3
"4890","B430319F04Rik",26,14,6,17,13,5,18,4
"4891","B430319H21Rik",6,0,7,0,3,2,0,0
"4892","B4galnt1",20,40,35,48,48,25,90,47
"4893","B4galnt2",7,10,10,14,8,5,11,1
"4894","B4galnt3",3,6,15,3,13,14,18,3
"4895","B4galnt4",0,0,4,0,4,2,7,0
"4896","B4galt1",1486,1108,981,1220,1116,1128,1157,842
"4897","B4galt2",60,83,50,46,57,58,62,56
"4898","B4galt3",211,227,173,305,220,175,147,102
"4899","B4galt4",199,212,133,188,181,129,167,93
"4900","B4galt5",182,105,88,141,134,156,154,204
"4901","B4galt6",333,321,339,399,206,276,301,249
"4902","B4galt7",145,169,158,155,129,131,129,115
"4903","B4gat1",791,1020,586,875,684,573,696,496
"4904","B530045E10Rik",20,20,36,31,44,44,40,5
"4905","B630019A10Rik",16,6,25,9,31,38,21,2
"4906","B630019K06Rik",14,20,12,27,5,4,14,9
"4907","B830012L14Rik",16,12,21,33,31,33,7,3
"4908","B830042I05Rik",9,1,7,15,11,10,6,0
"4909","B930018H19Rik",4,5,7,5,10,8,8,7
"4910","B930025P03Rik",1,6,11,3,13,13,11,9
"4911","B930036N10Rik",3,5,7,0,11,4,13,0
"4912","B930059L03Rik",6,20,24,22,13,13,7,9
"4913","B930082K07Rik",3,7,10,7,7,17,17,2
"4914","B930086L07Rik",22,1,3,10,17,21,25,4
"4915","B930092H01Rik",7,6,8,0,8,9,7,0
"4916","B930094E09Rik",15,27,14,35,19,14,22,13
"4917","B930095G15Rik",98,100,67,102,103,106,65,37
"4918","B9d1",35,53,49,56,44,46,58,42
"4919","B9d1os",1,0,0,0,0,0,2,0
"4920","B9d2",105,104,91,136,79,64,90,50
"4921","BB014433",0,5,2,5,10,2,1,0
"4922","BB019430",4,1,14,2,6,8,8,1
"4923","BB031773",3,10,0,21,5,4,12,4
"4924","BB123696",11,9,9,18,16,21,12,3
"4925","BB187690",0,0,1,0,1,6,0,0
"4926","BB218582",78,86,91,91,32,101,60,48
"4927","BB287469",2,2,0,9,4,7,2,0
"4928","BB365896",38,13,24,52,44,41,35,7
"4929","BB557941",9,4,7,0,4,5,2,1
"4930","BC001981",0,3,4,4,2,2,0,1
"4931","BC002059",52,68,58,52,54,52,51,44
"4932","BC002163",49,44,43,29,28,18,31,14
"4933","BC002189",14,24,27,9,10,38,8,13
"4934","BC003965",379,554,377,538,432,338,383,222
"4935","BC004004",2192,2463,1832,2415,2398,1330,2260,1678
"4936","BC005537",520,331,356,414,357,368,395,375
"4937","BC005561",196,136,164,194,118,145,142,94
"4938","BC005624",323,282,274,341,272,215,258,172
"4939","BC006965",16,17,33,20,35,38,26,9
"4940","BC016548",1,3,1,6,4,6,11,0
"4941","BC016579",12,5,11,5,28,19,8,5
"4942","BC017158",39,78,92,76,80,70,93,50
"4943","BC018473",6,15,14,6,15,15,9,2
"4944","BC021767",1,9,14,0,2,10,2,5
"4945","BC022960",4,5,10,7,3,4,8,2
"4946","BC023105",19,17,43,27,18,24,1302,21
"4947","BC023719",0,0,0,0,0,0,0,0
"4948","BC024063",31,41,35,24,38,48,36,14
"4949","BC024139",1,2,0,0,6,3,3,0
"4950","BC024386",2,2,5,0,6,6,0,0
"4951","BC024978",98,133,82,118,81,104,50,49
"4952","BC025446",0,0,3,3,1,3,1,0
"4953","BC025920",22,3,12,11,21,22,8,11
"4954","BC026762",7,6,8,6,19,12,11,3
"4955","BC028471",5,2,3,9,7,1,1,6
"4956","BC028528",42,59,60,47,81,71,77,48
"4957","BC028777",0,1,0,0,0,0,0,0
"4958","BC029722",260,175,195,234,228,197,205,145
"4959","BC030343",3,7,27,12,23,7,6,10
"4960","BC030499",13,11,17,16,24,19,14,3
"4961","BC030500",0,0,2,4,6,1,8,0
"4962","BC030867",18,8,8,6,7,12,13,5
"4963","BC030870",7,9,8,2,9,11,13,0
"4964","BC031181",319,364,269,376,329,237,295,246
"4965","BC034090",434,489,380,503,362,361,372,336
"4966","BC035044",15,6,10,5,11,13,8,11
"4967","BC035947",4,1,7,0,14,3,9,3
"4968","BC037032",118,85,99,138,95,63,97,84
"4969","BC037034",98,72,55,98,62,33,36,83
"4970","BC037039",8,3,2,0,0,2,2,1
"4971","BC037156",4,3,3,4,8,1,3,3
"4972","BC039966",0,0,1,3,9,4,1,0
"4973","BC042761",8,10,6,1,10,7,7,6
"4974","BC043934",20,38,25,26,37,56,26,11
"4975","BC046251",12,7,4,7,21,9,14,4
"4976","BC046401",21,17,3,17,16,8,8,12
"4977","BC048403",16,14,26,64,27,32,27,30
"4978","BC048507",0,3,1,0,1,0,0,0
"4979","BC048559",9,8,14,6,7,15,7,1
"4980","BC048562",0,4,2,0,5,2,1,0
"4981","BC048602",15,2,13,8,11,6,8,1
"4982","BC048644",0,0,5,0,0,6,5,0
"4983","BC048671",9,2,6,2,8,3,3,5
"4984","BC048679",0,0,1,0,5,4,10,3
"4985","BC049352",17,9,10,4,14,11,18,3
"4986","BC049715",5,25,18,17,31,19,8,15
"4987","BC049730",2,0,4,10,3,2,2,1
"4988","BC049739",0,0,1,0,0,0,4,0
"4989","BC049762",4,9,5,5,29,1,10,2
"4990","BC049987",0,1,0,0,4,0,1,0
"4991","BC050972",2,7,8,7,12,9,8,5
"4992","BC051019",1,6,4,3,9,8,3,3
"4993","BC051076",2,2,8,19,23,4,13,0
"4994","BC051077",1,1,2,2,4,8,1,1
"4995","BC051142",20,21,9,17,26,26,18,9
"4996","BC051226",0,1,1,2,4,3,0,4
"4997","BC051537",0,2,3,11,1,4,2,1
"4998","BC051665",12,6,14,21,18,11,20,2
"4999","BC052040",75,76,97,92,96,76,74,56
"5000","BC053393",3,5,12,2,12,4,4,1
"5001","BC055308",15,17,27,31,34,31,34,8
"5002","BC055324",18,21,35,14,35,52,37,24
"5003","BC055402",19,10,14,4,17,23,14,3
"5004","BC060293",8,11,14,6,10,15,6,2
"5005","BC061195",0,0,1,3,4,2,0,0
"5006","BC061212",0,0,0,0,0,0,0,0
"5007","BC061237",10,4,5,7,10,4,8,0
"5008","BC064078",11,12,13,14,17,12,16,5
"5009","BC065397",33,24,22,47,16,43,29,17
"5010","BC065403",0,0,0,0,5,2,1,0
"5011","BC067074",46,28,27,23,72,43,39,35
"5012","BC080695",0,0,0,0,0,0,0,0
"5013","BC080696",0,0,0,0,0,0,0,0
"5014","BC085271",10,6,8,4,14,2,15,2
"5015","BC100530",12,1,3,2,3,4,5,0
"5016","BC106175",2,1,1,0,4,1,10,0
"5017","BC106179",8,3,2,7,8,6,4,8
"5018","BC107364",0,2,1,2,17,4,14,6
"5019","BC117090",4,0,1,0,1,2,6,2
"5020","BC147527",6,8,13,4,11,10,1,1
"5021","BE692007",27,17,19,16,41,26,33,9
"5022","Baalc",0,0,0,0,0,0,0,0
"5023","Baat",6,0,10,4,10,1,1,0
"5024","Babam1",633,714,505,659,538,350,512,375
"5025","Babam2",449,425,377,418,365,351,395,314
"5026","Bace1",734,539,686,645,554,592,466,399
"5027","Bace2",164,175,157,281,181,217,165,77
"5028","Bach1",175,117,99,125,85,119,85,82
"5029","Bach2",83,75,60,101,97,73,94,34
"5030","Bach2it1",4,2,1,5,0,3,6,5
"5031","Bach2os",7,0,0,5,0,11,8,0
"5032","Bad",181,152,129,120,115,123,113,89
"5033","Bag1",1664,1638,1423,1879,1327,908,1443,989
"5034","Bag2",948,969,863,980,861,637,929,651
"5035","Bag3",4370,4469,3316,4442,3664,2444,3533,2895
"5036","Bag4",92,93,130,134,200,125,126,68
"5037","Bag5",379,391,334,402,301,271,337,223
"5038","Bag6",959,802,786,925,694,562,696,561
"5039","Bahcc1",123,123,87,126,79,125,105,97
"5040","Bahd1",236,120,108,103,184,110,142,80
"5041","Baiap2",215,127,112,152,112,101,115,114
"5042","Baiap2l1",260,242,184,312,184,179,230,131
"5043","Baiap2l2",7,7,4,1,12,11,4,3
"5044","Baiap3",3,13,6,7,25,8,15,11
"5045","Bak1",18,23,14,46,38,21,25,20
"5046","Bambi",196,258,215,244,223,179,213,163
"5047","Bambi-ps1",17,26,26,17,22,17,15,11
"5048","Banf1",355,412,288,380,291,232,310,254
"5049","Banf2",0,3,1,3,5,12,3,0
"5050","Banf2os",12,15,10,6,26,9,24,6
"5051","Bank1",56,74,92,99,76,104,96,56
"5052","Banp",235,201,134,253,122,138,128,114
"5053","Bap1",1269,1122,867,1269,920,1018,996,675
"5054","Bard1",21,11,18,15,24,21,25,8
"5055","Barhl1",0,3,6,0,6,4,5,0
"5056","Barhl2",0,5,1,1,10,7,0,0
"5057","Barx1",0,3,0,1,3,2,1,4
"5058","Barx2",5,0,4,1,6,8,1,0
"5059","Basp1",18,24,29,27,21,11,30,19
"5060","Batf",8,13,6,5,20,10,9,16
"5061","Batf2",13,9,16,18,39,22,34,31
"5062","Batf3",6,3,0,12,16,4,10,1
"5063","Bax",180,205,132,198,223,107,180,192
"5064","Baz1a",106,105,89,97,119,123,94,86
"5065","Baz1b",786,638,595,746,649,611,665,442
"5066","Baz2a",362,235,234,276,272,300,331,322
"5067","Baz2b",668,547,470,507,562,553,449,371
"5068","Bbc3",53,90,81,64,40,78,88,52
"5069","Bbip1",188,201,155,222,175,150,202,119
"5070","Bbof1",35,24,20,21,25,15,32,4
"5071","Bbox1",13,23,26,22,20,25,14,4
"5072","Bbs1",41,29,39,37,47,48,30,13
"5073","Bbs10",30,42,48,78,40,60,11,36
"5074","Bbs12",11,21,28,22,44,24,35,12
"5075","Bbs2",189,122,99,175,143,110,131,97
"5076","Bbs4",51,53,58,57,81,86,88,63
"5077","Bbs5",53,45,55,44,65,46,51,47
"5078","Bbs7",101,43,97,99,102,88,84,66
"5079","Bbs9",148,143,138,102,159,125,151,78
"5080","Bbx",304,307,290,306,290,258,283,215
"5081","Bc1",1,0,0,3,2,2,1,0
"5082","Bc1-ps1",0,0,0,0,0,2,0,0
"5083","Bcam",3513,4037,2953,4086,2995,2408,3606,2378
"5084","Bcan",6,2,7,8,8,2,8,0
"5085","Bcap29",459,433,462,576,484,308,502,284
"5086","Bcap31",554,623,515,680,488,371,537,386
"5087","Bcar1",348,402,325,401,304,302,415,273
"5088","Bcar3",162,180,127,132,116,118,103,107
"5089","Bcas1",13,1,10,3,7,19,8,1
"5090","Bcas1os1",0,3,0,0,0,4,0,0
"5091","Bcas1os2",0,3,1,1,7,2,0,0
"5092","Bcas2",454,386,294,452,419,257,400,296
"5093","Bcas3",510,537,406,471,368,286,399,232
"5094","Bcas3os1",30,8,22,24,25,32,11,11
"5095","Bcas3os2",2,3,0,13,2,2,4,2
"5096","Bcat1",42,15,28,35,51,58,18,18
